time;gFx;gFy;gFz;TgF
8,467;0,0759;0,1712;0,9396;0,958
8,517;0,0784;0,1767;0,9401;0,96
8,52;0,0784;0,1668;0,9417;0,96
8,548;0,0734;0,1582;0,9413;0,957
8,552;0,0741;0,16;0,942;0,958
8,58;0,0752;0,1611;0,9421;0,959
8,595;0,0693;0,1641;0,945;0,962
8,612;0,0664;0,1656;0,9479;0,965
8,651;0,0703;0,1638;0,9478;0,964
8,658;0,0709;0,1563;0,9447;0,96
8,672;0,0722;0,1586;0,9444;0,96
8,689;0,0705;0,1653;0,946;0,963
8,721;0,0752;0,1669;0,9477;0,965
8,741;0,0796;0,1711;0,946;0,965
8,754;0,0721;0,1647;0,9473;0,964
8,781;0,0777;0,1584;0,9442;0,961
8,799;0,0781;0,1596;0,9436;0,96
8,816;0,0761;0,1622;0,9411;0,958
8,832;0,0742;0,1602;0,9386;0,955
8,862;0,0722;0,1604;0,94;0,956
8,882;0,0715;0,1661;0,9394;0,957
8,902;0,0753;0,1649;0,9409;0,958
8,913;0,0746;0,1641;0,9401;0,957
8,943;0,0725;0,1619;0,9404;0,957
8,957;0,0734;0,161;0,9428;0,959
8,974;0,0682;0,1635;0,9453;0,962
8,992;0,0664;0,1623;0,946;0,962
9,025;0,0731;0,1578;0,9464;0,962
9,044;0,0761;0,1573;0,945;0,961
9,052;0,0731;0,1627;0,9406;0,957
9,085;0,0724;0,1699;0,942;0,96
9,1;0,0775;0,1662;0,9389;0,957
9,115;0,0726;0,1633;0,9385;0,955
9,132;0,0736;0,1658;0,9384;0,956
9,171;0,0761;0,1661;0,9403;0,958
9,194;0,0761;0,1653;0,9428;0,96
9,199;0,0774;0,1615;0,944;0,961
9,212;0,0744;0,1584;0,9477;0,964
9,245;0,0703;0,1641;0,9475;0,964
9,258;0,0722;0,1641;0,9479;0,965
9,278;0,0697;0,1671;0,9454;0,963
9,308;0,0703;0,1621;0,9439;0,96
9,33;0,0716;0,1571;0,9383;0,954
9,337;0,0714;0,1566;0,9354;0,951
9,37;0,0722;0,1632;0,9362;0,953
9,387;0,072;0,168;0,9377;0,955
9,412;0,0695;0,1665;0,935;0,952
9,428;0,0696;0,1602;0,9375;0,954
9,433;0,0703;0,1583;0,9418;0,958
9,466;0,0689;0,1606;0,9463;0,962
9,489;0,0751;0,1651;0,9518;0,969
9,496;0,0761;0,1617;0,9508;0,967
9,544;0,0723;0,1562;0,9421;0,958
9,548;0,0742;0,1549;0,9434;0,959
9,559;0,072;0,1585;0,941;0,957
9,575;0,067;0,1635;0,9401;0,957
9,608;0,0692;0,1639;0,9399;0,957
9,624;0,0761;0,1629;0,9397;0,957
9,64;0,0748;0,1641;0,9433;0,96
9,655;0,0685;0,1622;0,9459;0,962
9,699;0,071;0,1563;0,946;0,961
9,71;0,0723;0,1572;0,946;0,962
9,726;0,0688;0,1611;0,9474;0,963
9,752;0,0683;0,1563;0,944;0,959
9,768;0,0672;0,1541;0,9395;0,954
9,781;0,0655;0,1615;0,9381;0,954
9,797;0,0696;0,1706;0,9414;0,959
9,839;0,073;0,1657;0,9416;0,959
9,845;0,0786;0,1607;0,9389;0,956
9,86;0,0736;0,1544;0,9401;0,956
9,878;0,0704;0,1542;0,9383;0,953
9,912;0,0742;0,1565;0,9405;0,956
9,923;0,0705;0,167;0,9439;0,961
9,94;0,0606;0,168;0,9445;0,961
9,982;0,0605;0,1562;0,942;0,957
9,987;0,065;0,1507;0,9395;0,954
10,002;0,0696;0,1596;0,9414;0,957
10,019;0,0706;0,1606;0,9489;0,965
10,056;0,0664;0,1604;0,9479;0,964
10,096;0,0671;0,1607;0,9479;0,964
10,098;0,0683;0,1583;0,9467;0,962
10,101;0,07;0,1531;0,946;0,961
10,129;0,0726;0,1536;0,9417;0,957
10,146;0,0715;0,1574;0,9383;0,954
10,163;0,064;0,1577;0,9362;0,952
10,198;0,0625;0,1622;0,9343;0,95
10,211;0,0749;0,1616;0,9378;0,955
10,226;0,0798;0,1613;0,9442;0,961
10,243;0,0668;0,1622;0,9476;0,964
10,272;0,0625;0,1621;0,9478;0,964
10,288;0,0692;0,1588;0,944;0,96
10,305;0,0717;0,1526;0,9403;0,955
10,322;0,0656;0,1443;0,9397;0,953
10,351;0,064;0,1467;0,9369;0,95
10,368;0,0651;0,1599;0,941;0,957
10,383;0,0726;0,1655;0,9435;0,961
10,414;0,0761;0,1641;0,9421;0,959
10,434;0,0727;0,1591;0,949;0,965
10,449;0,0763;0,1542;0,9518;0,967
10,461;0,0781;0,1492;0,9502;0,965
10,493;0,0717;0,1449;0,9454;0,959
10,508;0,0656;0,1499;0,9394;0,954
10,525;0,0644;0,155;0,9394;0,954
10,548;0,0715;0,1599;0,9366;0,953
10,574;0,0719;0,1634;0,9389;0,956
10,59;0,0703;0,1576;0,9447;0,96
10,606;0,0717;0,1501;0,9493;0,964
10,64;0,0742;0,1524;0,9499;0,965
10,651;0,0717;0,1568;0,9518;0,967
10,668;0,0723;0,1562;0,9487;0,964
10,684;0,0757;0,1496;0,9444;0,959
10,717;0,0697;0,1472;0,9398;0,954
10,739;0,0638;0,1571;0,9362;0,951
10,762;0,0633;0,1637;0,9366;0,953
10,765;0,0661;0,1623;0,938;0,954
10,795;0,0671;0,1602;0,9401;0,956
10,813;0,0703;0,1576;0,941;0,957
10,83;0,0717;0,1544;0,9435;0,959
10,844;0,0761;0,1505;0,946;0,961
10,874;0,0742;0,1529;0,9449;0,96
10,889;0,0763;0,1544;0,941;0,957
10,906;0,0749;0,1575;0,9385;0,955
10,947;0,0665;0,1561;0,9401;0,955
10,952;0,069;0,1544;0,9408;0,956
10,971;0,0751;0,1556;0,9421;0,958
10,985;0,0746;0,1598;0,9473;0,964
11,017;0,0709;0,1612;0,946;0,962
11,039;0,0653;0,152;0,9442;0,959
11,049;0,0704;0,1452;0,9407;0,954
11,078;0,0702;0,1526;0,9441;0,959
11,095;0,0669;0,1631;0,9504;0,967
11,117;0,0714;0,1561;0,9498;0,965
11,129;0,0771;0,1494;0,9449;0,96
11,177;0,0722;0,147;0,9419;0,956
11,183;0,0736;0,1551;0,9421;0,958
11,193;0,0737;0,1614;0,9448;0,961
11,205;0,067;0,1587;0,9423;0,958
11,238;0,067;0,1544;0,9417;0,957
11,253;0,0728;0,1535;0,9384;0,954
11,27;0,0747;0,1524;0,939;0,954
11,29;0,0742;0,1562;0,9363;0,952
11,316;0,0703;0,1568;0,9381;0,954
11,338;0,0713;0,1583;0,9412;0,957
11,348;0,0707;0,1598;0,9456;0,962
11,381;0,0725;0,1577;0,9481;0,964
11,402;0,0748;0,1504;0,9492;0,964
11,415;0,0687;0,1504;0,9479;0,962
11,428;0,0698;0,1522;0,9462;0,961
11,462;0,0758;0,1527;0,944;0,959
11,494;0,07;0,1569;0,9449;0,96
11,496;0,0658;0,1602;0,9446;0,96
11,508;0,0759;0,1564;0,9459;0,962
